Msg Index	lot type	substrate type	material type	process step name	tool name	panel count	defectivity	processing time	job ID	elapsed time
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	5.0	66.0	4	49742.333333333336
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	604.0	5	50280.333333333336
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	7.0	68.6666666666668	5	50349.0
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	736.0	4	50478.333333333336
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	707.0	5	51185.333333333336
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	3497.0	7	52314.80952380951
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	32.66666666666668	4	52347.476190476176
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	638.285714285716	5	52985.761904761894
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	2971.5	6	53251.833333333336
0	FDC39B	Polyimide	aSi	AZORES CONTACT PHOTO	Azores 205B	4	-1.0	152.0	1	53403.833333333336
0	FDC39B	Polyimide	aSi	AZORES S-D METAL PHOTO	Azores 205B	4	-1.0	352.0	0	53755.833333333336
0	FDC39B	Polyimide	aSi	AZORES CONTACT PHOTO	Azores 205B	4	-1.0	1604.0	2	55359.833333333336
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	1.0	7414.66666666668	4	59762.142857142855
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	462.0	4	60224.142857142855
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	0.0	588.0	5	60350.142857142855
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	171.0	4	60395.142857142855
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	5.0	66.0	6	60416.142857142855
0	FDC39B	Polyimide	aSi	CONTACT PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	29.0	1	60445.142857142855
0	FDC39B	Polyimide	aSi	SOURCE DRAIN PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	149.0	0	60594.142857142855
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	716.666666666668	5	61066.80952380953
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	828.0	6	61244.142857142855
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	63.0	6	61307.142857142855
0	FDC39B	Polyimide	aSi	CONTACT PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	1215.0	2	61809.142857142855
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	0.0	44.0	6	61853.142857142855
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	54.6666666666668	6	61907.80952380952
0	FDC39B	Polyimide	aSi	CONTACT ETCH, GEN II	AKT1600B-209	4	-1.0	731.0	1	61975.142857142855
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	1195.0	5	62261.80952380953
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	462.0	1	62437.142857142855
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	194.5	6	62456.30952380953
0	FDC39B	Polyimide	aSi	CONTACT ETCH ORBOTECH INSPECTION	Orbotech-203D	4	6.0	53.7142857142856	1	62490.85714285714
0	FDC39B	Polyimide	aSi	S-D METAL ETCH CL (AL, TA, N+ASI), O2 ASH, GEN II	AKT1600B-209	4	-1.0	804.0	0	62779.142857142855
0	FDC39B	Polyimide	aSi	S-D N+ CONTACT DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	342.0	1	62832.85714285714
0	FDC39B	Polyimide	aSi	SD METAL PANEL RINSE GEN II	Universal Plastics Hood #1	4	-1.0	172.0	0	62951.142857142855
0	FDC39B	Polyimide	aSi	SD ETCH ORBOTECH INSPECTION	Orbotech-203D	4	0.0	425.0	0	63376.142857142855
0	FDC39B	Polyimide	aSi	CONTACT ETCH, GEN II	AKT1600B-209	4	-1.0	766.285714285716	2	63545.42857142857
0	FDC39B	Polyimide	aSi	S-D METAL DEPOSITON	KDF744NT-219	4	-1.0	734.0	1	63566.85714285714
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	52.0	2	63597.42857142857
